zip-code,population,white-count,white-non-hispanic-count,black-count,native-american-count,asian-count,hawaiian-pacific-count,other-count,two-or-more-count,two-or-more-other-count,two-or-more-not-other-count
92316,29304,15563,4060,1288,183,500,33,10958,779,285,494
92320,8457,7285,5875,111,70,280,12,250,449,183,266
92321,1210,1087,806,4,22,17,14,54,12,0,12
92322,719,705,583,0,0,0,0,0,14,0,14
92324,58650,37877,10399,4413,652,2718,126,10934,1930,587,1343
92325,8789,7912,6537,122,80,104,0,166,405,124,281
92327,718,503,433,125,90,0,0,0,0,0,0
92328,320,235,216,22,45,7,0,4,7,1,6
92332,11,11,11,0,0,0,0,0,0,0,0
92333,300,300,300,0,0,0,0,0,0,0,0
92335,99791,35297,9213,4836,850,1749,961,53679,2419,1286,1133
92336,94327,47643,17506,10865,604,9114,62,21175,4864,1084,3780
92337,38938,14984,4254,3870,245,2805,49,14856,2129,702,1427
92338,0,0,0,0,0,0,0,0,0,0,0
92339,1295,1240,1149,0,6,0,20,18,11,0,11
92341,232,232,232,0,0,0,0,0,0,0,0
92342,7096,6237,4641,392,24,119,0,39,285,0,285
92344,23275,18652,8991,1875,765,859,0,536,588,32,556
92345,80910,67876,29397,3035,634,1181,98,5477,2609,841,1768
92346,60424,36171,19527,6793,862,5152,553,7628,3265,1172,2093
92347,917,681,492,74,0,10,0,123,29,11,18
92352,6237,5621,4669,64,36,159,0,109,248,0,248
92354,21341,10856,6797,2618,43,6357,160,652,655,175,480
92356,6239,5402,4248,177,208,54,0,118,280,29,251
92358,954,842,645,0,2,5,8,0,97,0,97
92359,8913,6873,4977,245,44,416,179,625,531,190,341
92363,5384,4098,3109,98,659,102,0,181,246,17,229
92364,0,0,0,0,0,0,0,0,0,0,0
92365,2763,2358,1909,90,29,158,0,39,89,0,89
92368,941,819,393,3,0,0,0,75,44,7,37
92371,17799,15466,9998,705,65,486,146,756,175,97,78
92372,6228,5914,4150,0,42,158,0,0,114,0,114
92373,34063,25671,20689,2512,209,2477,0,1594,1600,440,1160
92374,42579,29606,17091,3247,226,3612,280,3179,2429,623,1806
92376,86937,54192,7651,10127,642,2083,136,16609,3148,1343,1805
92377,19490,12042,3661,3246,62,541,16,2427,1156,326,830
92378,211,157,60,0,0,0,0,54,0,0,0
92382,4822,4184,3905,147,10,59,32,82,308,35,273
92384,17,17,17,0,0,0,0,0,0,0,0
92385,289,289,263,0,0,0,0,0,0,0,0
92386,2004,1964,1482,0,31,9,0,0,0,0,0
92389,153,153,146,0,0,0,0,0,0,0,0
92391,2738,2276,1796,1,0,44,0,349,68,0,68
92392,57678,39653,14246,8325,552,1834,98,3365,3851,741,3110
92394,35528,20036,5904,6601,273,1815,126,4024,2653,1159,1494
92395,41785,29839,14484,5554,199,1077,46,3249,1821,523,1298
92397,4457,4179,3460,11,27,22,0,12,206,55,151
92398,2058,1955,1145,38,0,0,0,0,65,0,65
92399,54027,45605,32439,627,189,1400,117,4280,1809,409,1400
92401,2030,920,273,504,0,74,0,523,9,4,5
92404,60850,31730,10844,9015,377,1557,223,14466,3482,822,2660
92405,30366,16669,5241,4471,254,778,20,6858,1316,181,1135
92407,67302,43138,13920,7448,451,3296,398,9223,3348,519,2829
92408,15466,8526,2033,1759,72,2157,0,2330,622,43,579
