GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US90292,90292,ZCTA5 90292,22328,1326
8600000US90293,90293,ZCTA5 90293,12762,836
8600000US90301,90301,ZCTA5 90301,37518,1123
8600000US90302,90302,ZCTA5 90302,30892,1039
8600000US90303,90303,ZCTA5 90303,24658,982
8600000US90304,90304,ZCTA5 90304,25937,993
8600000US90305,90305,ZCTA5 90305,15574,1117
8600000US90401,90401,ZCTA5 90401,7485,548
8600000US90402,90402,ZCTA5 90402,11681,682
8600000US90403,90403,ZCTA5 90403,24764,815
8600000US90404,90404,ZCTA5 90404,22586,716
8600000US90405,90405,ZCTA5 90405,28305,871
8600000US90501,90501,ZCTA5 90501,43008,1204
8600000US90502,90502,ZCTA5 90502,18010,808
8600000US90503,90503,ZCTA5 90503,45349,952
8600000US90504,90504,ZCTA5 90504,33422,1002
8600000US90505,90505,ZCTA5 90505,37368,868
8600000US90506,90506,ZCTA5 90506,0,12
8600000US90601,90601,ZCTA5 90601,34025,1251
8600000US90602,90602,ZCTA5 90602,26482,1075
8600000US90603,90603,ZCTA5 90603,20697,788
8600000US90604,90604,ZCTA5 90604,41369,1440
8600000US90605,90605,ZCTA5 90605,41818,1311
8600000US90606,90606,ZCTA5 90606,32599,1326
8600000US90620,90620,ZCTA5 90620,46038,1319
8600000US90621,90621,ZCTA5 90621,36074,1328
8600000US90623,90623,ZCTA5 90623,15882,138
8600000US90630,90630,ZCTA5 90630,49249,249
8600000US90631,90631,ZCTA5 90631,69579,392
8600000US90638,90638,ZCTA5 90638,49797,301
8600000US90640,90640,ZCTA5 90640,63547,121
8600000US90650,90650,ZCTA5 90650,106404,59
8600000US90660,90660,ZCTA5 90660,63694,102
8600000US90670,90670,ZCTA5 90670,16642,216
8600000US90680,90680,ZCTA5 90680,30530,814
8600000US90701,90701,ZCTA5 90701,16912,100
8600000US90703,90703,ZCTA5 90703,50877,491
8600000US90704,90704,ZCTA5 90704,3940,78
8600000US90706,90706,ZCTA5 90706,77852,92
8600000US90710,90710,ZCTA5 90710,28667,1132
8600000US90712,90712,ZCTA5 90712,31471,865
8600000US90713,90713,ZCTA5 90713,28927,719
8600000US90715,90715,ZCTA5 90715,20313,703
8600000US90716,90716,ZCTA5 90716,14409,67
