GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US89010,89010,ZCTA5 89010,345,51
8600000US89019,89019,ZCTA5 89019,1298,196
8600000US89046,89046,ZCTA5 89046,441,64
8600000US89060,89060,ZCTA5 89060,4857,268
8600000US89061,89061,ZCTA5 89061,2712,213
8600000US89439,89439,ZCTA5 89439,712,70
8600000US90001,90001,ZCTA5 90001,14438,216
8600000US90002,90002,ZCTA5 90002,13171,253
8600000US90003,90003,ZCTA5 90003,17737,299
8600000US90004,90004,ZCTA5 90004,24711,232
8600000US90005,90005,ZCTA5 90005,17508,342
8600000US90006,90006,ZCTA5 90006,20892,285
8600000US90007,90007,ZCTA5 90007,12843,184
8600000US90008,90008,ZCTA5 90008,15954,356
8600000US90010,90010,ZCTA5 90010,2235,217
8600000US90011,90011,ZCTA5 90011,24942,196
8600000US90012,90012,ZCTA5 90012,12719,331
8600000US90013,90013,ZCTA5 90013,8003,330
8600000US90014,90014,ZCTA5 90014,5513,372
8600000US90015,90015,ZCTA5 90015,9573,260
8600000US90016,90016,ZCTA5 90016,18146,264
8600000US90017,90017,ZCTA5 90017,11532,231
8600000US90018,90018,ZCTA5 90018,17339,241
8600000US90019,90019,ZCTA5 90019,25864,374
8600000US90020,90020,ZCTA5 90020,18168,340
8600000US90021,90021,ZCTA5 90021,2315,208
8600000US90022,90022,ZCTA5 90022,18426,253
8600000US90023,90023,ZCTA5 90023,12062,192
8600000US90024,90024,ZCTA5 90024,19310,242
8600000US90025,90025,ZCTA5 90025,23174,301
8600000US90026,90026,ZCTA5 90026,27195,378
8600000US90027,90027,ZCTA5 90027,23561,221
8600000US90028,90028,ZCTA5 90028,18902,284
8600000US90029,90029,ZCTA5 90029,15205,217
8600000US90031,90031,ZCTA5 90031,12329,170
8600000US90032,90032,ZCTA5 90032,14094,114
8600000US90033,90033,ZCTA5 90033,13938,210
8600000US90034,90034,ZCTA5 90034,27462,329
8600000US90035,90035,ZCTA5 90035,14102,241
8600000US90036,90036,ZCTA5 90036,20206,297
8600000US90037,90037,ZCTA5 90037,18097,282
